Date,Ave.T,Max. T,Min. T,Prec,S.L.Press,Wind.dir,dir,Wind.sp
31/01/2014,-0.6,2.5,-3.6,Ip,1019.1,53, NE ,7
30/01/2014,1.9,9.2,-5.5,0,1019.6,94, E ,10
29/01/2014,-1.5,2.8,-5.8,0,1014,60, NE ,6
28/01/2014,0.3,5.5,-4.9,0,1025.3,169, S ,11
27/01/2014,3.6,12.3,-5.1,0,1022.4,25, NE ,9
26/01/2014,-1.1,3.5,-5.7,0,1025.1,165, S ,9
25/01/2014,1.2,7.8,-5.4,0,1030.4,60, NE ,9
24/01/2014,3.1,9.7,-3.4,0,1020.6,13, N ,6
23/01/2014,-2,2.6,-6.7,0,1015.6,58, NE ,5
22/01/2014,-0.8,6.2,-7.9,0,1022.3,58, NE ,5
21/01/2014,-1.1,3.5,-5.8,0,1030,192, S ,8
20/01/2014,0.3,2.6,-2,0,1032.2,347, N ,13
19/01/2014,0.2,4.4,-3.9,0,1024.7,330, NW ,12
18/01/2014,-1,5.5,-7.5,0,1031.8,176, S ,8
17/01/2014,0.8,4.4,-2.7,0,1032.3,236, SW ,5
16/01/2014,0.3,4.6,-4,0,1029.5,100, E ,7
15/01/2014,-1.9,5.2,-9.1,0,1029.6,205, SW ,5
14/01/2014,-2.5,2.3,-7.2,0,1034.2,153, SE ,4
13/01/2014,-2.7,3.2,-8.6,0,1032.1,125, SE ,4
12/01/2014,-0.4,3.9,-4.7,0,1035.9,200, S ,7
11/01/2014,-2.4,4.3,-9.1,0,1031.6,270, W ,7
10/01/2014,-3.6,3.1,-10.4,0,1031.5,168, S ,5
09/01/2014,-2.1,0.9,-5.1,0,1031.5,196, S ,7
08/01/2014,-1.6,0.6,-3.9,0,1033.9,320, NW ,11
07/01/2014,1.1,4.9,-2.8,0,1029.5,27, NE ,13
06/01/2014,-1.4,0.2,-2.9,0,1025.4,120, SE ,5
05/01/2014,0.2,6.4,-5.9,0,1026.1,75, E ,8
04/01/2014,-0.7,3.1,-4.5,0,1022.2,60, NE ,4
03/01/2014,3.8,8.5,-1,0,1024,15, N ,8
02/01/2014,2.5,7.4,-2.5,0,1018.4,16, N ,7
01/01/2014,4.7,12.8,-3.4,0,1016.8,229, SW ,6
28/02/2014,2.1,6.8,-2.6,0,1025.7,216, SW ,5
27/02/2014,5.5,8.3,2.7,0,1029.3,16, N ,13
26/02/2014,5.1,9.5,0.7,1.2,1023.8,4, N ,9
25/02/2014,3.8,8.6,-1.1,0,1025.4,51, NE ,4
24/02/2014,4.2,6.7,1.6,0,1027.3,154, SE ,5
23/02/2014,1.4,2.5,0.4,0,1030.2,65, NE ,5
22/02/2014,2.4,5.8,-1.1,0,1030.7,71, E ,7
21/02/2014,-0.2,3.9,-4.4,0,1028.5,61, NE ,4
20/02/2014,-1.6,0.6,-3.9,0,1030.4,74, E ,5
19/02/2014,0.5,6.1,-5.1,Tr,1029.6,95, E ,8
18/02/2014,-0.8,2.3,-3.9,0,1030.6,180, S ,8
17/02/2014,1.6,4.8,-1.7,0,1035.6,148, SE ,9
16/02/2014,0.9,6.1,-4.2,0,1031.5,118, SE ,7
15/02/2014,-0.8,3.3,-4.8,0,1025.4,50, NE ,6
14/02/2014,-1.4,3.2,-6.1,0,1025.4,58, NE ,5
13/02/2014,-2.2,0.6,-5,Tr,1032.8,114, SE ,7
12/02/2014,-2.9,3.5,-9.2,0,1034.6,90, E ,8
11/02/2014,-5.2,0.7,-11.2,0,1028.8,128, SE ,5
10/02/2014,-5,-1.1,-8.8,0,1033.4,134, SE ,5
09/02/2014,-4.8,-1.3,-8.2,0,1037,357, N ,10
08/02/2014,-1.9,1.6,-5.4,0,1031.6,7, N ,14
07/02/2014,-3,-1.7,-4.4,2.5,1026.1,147, SE ,7
06/02/2014,-2.4,1.8,-6.6,1.1,1030.4,98, E ,7
05/02/2014,-3.1,1.1,-7.3,0,1028.9,189, S ,6
04/02/2014,-2.8,0.7,-6.3,0,1029.7,216, SW ,7
03/02/2014,-0.7,1.8,-3.2,0,1028.7,324, NW ,12
02/02/2014,4.6,9.2,0,0,1018.9,20, N ,18
01/02/2014,2.4,3.7,1.1,0,1014.6,180, S ,7
31/03/2014,18.1,23,13.2,0.9,1015,73, E ,6
30/03/2014,17.1,25.9,8.2,0,1015.4,147, SE ,7
29/03/2014,17.2,22.3,12.2,0,1013.7,151, SE ,8
28/03/2014,17.3,22.3,12.3,Tr,1008.9,50, NE ,8
27/03/2014,13.4,15.7,11.1,Tr,1010.3,42, NE ,8
26/03/2014,16.6,23.7,9.6,0,1010.5,92, E ,6
25/03/2014,15.8,23,8.5,0,1009.6,192, S ,6
24/03/2014,13.8,21.2,6.5,0,1012.2,96, E ,5
23/03/2014,12.8,19.6,6,0,1020.9,139, SE ,7
22/03/2014,13.8,22.9,4.6,0,1020.6,54, NE ,9
21/03/2014,12.9,22,3.9,0,1018,219, SW ,10
20/03/2014,12.6,18.4,6.8,0,1025.2,324, NW ,12
19/03/2014,8.9,12.4,5.4,0,1024.9,340, N ,9
18/03/2014,11.6,15,8.1,0,1022.4,167, S ,10
17/03/2014,13.1,20.7,5.4,0,1015.2,351, N ,12
16/03/2014,12.2,17.1,7.3,0,1013.6,80, E ,8
