Date,Ave.T,Max.T,Min.T,Prec,S.L.Press,Wind.dir,dir,Wind.sp
31/01/2014,0.2,3.6,-3.1,0,1018.5,357,N,4
30/01/2014,2.5,8.6,-3.6,0,1019.2,21,N,5
29/01/2014,1.2,7.5,-5.1,0,1013.5,29,NE,2
28/01/2014,0.6,6.3,-5.1,0,1025.7,203,SW,3
27/01/2014,-0.8,3.9,-5.4,0,1021.9,353,N,3
26/01/2014,-1.4,3,-5.8,0,1025.7,350,N,3
25/01/2014,3.5,9.9,-3,0,1028.9,97,E,4
24/01/2014,2.6,7.5,-2.2,0,1020.2,298,NW,6
23/01/2014,0.6,5.4,-4.2,0,1015.7,353,N,5
22/01/2014,0.9,7.6,-5.7,0,1022,345,N,6
21/01/2014,-0.8,5.4,-6.9,0,1030.7,189,S,9
20/01/2014,2.9,5.9,-0.1,0,1032.7,304,NW,9
19/01/2014,4,10.4,-2.3,0,1025.9,295,NW,13
18/01/2014,1.1,7.3,-5,0,1031.2,5,N,7
17/01/2014,-1.3,2.8,-5.4,0,1033.2,276,W,5
16/01/2014,0.1,5.9,-5.7,0,1029,69,E,4
15/01/2014,-1.9,3.6,-7.4,0,1029.5,174,S,6
14/01/2014,-1.2,2.6,-5,0,1034.6,281,W,6
13/01/2014,-1.8,4.1,-7.7,0,1031.8,228,SW,6
12/01/2014,-1.1,3,-5.3,0,1036.7,90,E,6
11/01/2014,0.7,5.7,-4.3,0,1031.3,207,SW,3
10/01/2014,-1.1,4.3,-6.6,0,1031.6,201,S,6
09/01/2014,-2.6,1.5,-6.8,0,1031.9,262,W,6
08/01/2014,-1.6,1.1,-4.3,0,1033.9,338,N,7
07/01/2014,0.5,3.6,-2.6,0,1029.2,330,NW,3
06/01/2014,-1.4,1.9,-4.6,0,1025.2,39,NE,5
05/01/2014,1.9,8,-4.2,0,1025.7,84,E,7
04/01/2014,1.7,7.2,-3.8,0,1021.4,350,N,7
03/01/2014,6.5,9.4,3.5,0,1023.8,226,SW,7
02/01/2014,6,11.5,0.6,0,1018.2,229,SW,8
01/01/2014,11.1,15.2,6.9,0,1016.7,294,NW,11
28/02/2014,4,7.5,0.4,0,1025.7,135,SE,4
27/02/2014,6.3,8.9,3.7,0,1029,111,E,4
26/02/2014,7.5,12.6,2.4,3.1,1023.1,355,N,4
25/02/2014,6.4,10.2,2.6,0,1025.1,8,N,4
24/02/2014,3.6,6.3,0.9,0,1027.3,67,NE,3
23/02/2014,2.4,5,-0.3,0,1029.8,19,N,3
22/02/2014,2.1,6.3,-2.1,0,1030.1,319,NW,4
21/02/2014,3.5,6.9,0,0,1027.9,352,N,3
20/02/2014,0.7,4.2,-2.8,0,1029.7,230,SW,5
19/02/2014,2,5.3,-1.2,0,1029.5,328,NW,5
18/02/2014,0.9,5.7,-3.9,0,1029.8,65,NE,5
17/02/2014,2.8,5.2,0.4,0,1034.9,82,E,5
16/02/2014,0.6,4,-2.8,0,1030.9,350,N,4
15/02/2014,1.1,5.9,-3.7,0,1025,337,NW,3
14/02/2014,0.9,7.6,-5.8,0,1024.8,104,E,6
13/02/2014,-0.8,3.6,-5.1,0,1032.4,118,SE,4
12/02/2014,-1.4,2.2,-5,0,1034.2,120,SE,3
11/02/2014,-3.8,1.3,-8.8,0,1028.7,180,S,5
10/02/2014,-4.5,0,-8.9,0,1033.5,209,SW,4
09/02/2014,-4.5,-1.9,-7.1,0,1037.1,181,S,4
08/02/2014,0,3,-3,0,1030.5,9,N,5
07/02/2014,-2.2,-1.1,-3.4,0.4,1025.7,73,E,3
06/02/2014,-2.4,0.2,-4.9,1.9,1030,354,N,4
05/02/2014,-3,-1.9,-4.2,0.8,1029.2,4,N,3
04/02/2014,-3.9,-0.3,-7.5,0.8,1030,7,N,3
03/02/2014,0.1,3.2,-3.1,0,1028.7,105,E,5
02/02/2014,-1.4,2.4,-5.2,0,1018.4,347,N,4
01/02/2014,1.4,6.3,-3.5,0,1015.2,332,NW,4
31/03/2014,18.8,21.1,16.5,Tr,1015.6,254,W,5
30/03/2014,18.1,24.6,11.6,0,1015.6,152,SE,6
29/03/2014,16.6,21.4,11.9,0,1014.2,120,SE,4
28/03/2014,18.6,23.4,13.7,0,1008.2,223,SW,6
27/03/2014,15.2,18.2,12.2,0.9,1009.2,10,N,5
26/03/2014,18.8,23.9,13.6,0,1010,139,SE,4
25/03/2014,16.7,22.1,11.3,0,1010.1,45,NE,5
24/03/2014,16.5,22.2,10.8,0,1012,157,SE,5
23/03/2014,14.5,19.5,9.5,0,1020.9,61,NE,5
22/03/2014,16.9,24.7,9,0,1019,299,NW,6
21/03/2014,15.3,21,9.7,0,1019.6,201,S,7
20/03/2014,12.8,18.8,6.7,0,1026.7,254,W,6
19/03/2014,8.2,11.8,4.7,0,1025.3,8,N,6
18/03/2014,10.5,14.2,6.8,0,1022.3,120,SE,5
17/03/2014,13.8,21.5,6.2,0,1015.1,350,N,5
16/03/2014,13.1,17.3,8.8,0,1013.1,0,N,4
15/03/2014,16.4,27.9,4.9,0,1010.3,246,SW,6
14/03/2014,10.3,17.9,2.8,0,1017.2,193,S,7
13/03/2014,9.7,15.9,3.4,0,1022.1,276,W,5
12/03/2014,8,10.1,5.9,0,1026.4,248,W,5
11/03/2014,8.7,15.8,1.5,0,1017.5,40,NE,5
10/03/2014,6.4,11.3,1.5,0,1020.9,22,N,4
09/03/2014,8,12.9,3,0,1025.5,250,W,4
08/03/2014,8,13.2,2.8,0,1022.8,176,S,5
07/03/2014,3,7.3,-1.3,0,1028.1,9,N,3
06/03/2014,4,8.3,-0.2,0,1030.4,172,S,4
05/03/2014,4.5,8.1,1,0,1029,111,E,5
04/03/2014,6.2,10.4,2.1,0,1027.7,91,E,5
03/03/2014,5.7,9.4,2,0,1021.5,3,N,4
02/03/2014,7.5,15.4,-0.5,0,1021.1,227,SW,5
01/03/2014,6.1,11.7,0.5,0,1023.7,191,S,4
30/04/2014,20.1,26.2,14.1,0,1008.5,194,S,5
29/04/2014,19.9,25.8,14,0,1011.7,185,S,7
28/04/2014,17.8,22.6,13,0,1018.2,178,S,5
27/04/2014,18.7,23.7,13.7,0,1020.5,163,S,6
26/04/2014,16,18.7,13.3,0,1020.9,179,S,6
25/04/2014,19.4,24.2,14.6,9,1016.8,345,N,6
24/04/2014,18.8,23.8,13.8,0,1014.3,88,E,5
23/04/2014,18.2,23.7,12.8,0,1010,125,SE,7
22/04/2014,17.9,24.5,11.2,0,1012.8,152,SE,6
21/04/2014,17.5,21.3,13.7,0,1016.7,225,SW,7
20/04/2014,15.2,20.4,9.9,0,1017.1,78,E,4
